seller_id,buyer_id,traded_energy,traded_price,traded_rate,bid_id,timestamp
B05a,B28,16.0,240.0,15.0,8551cc09-6adb-4e66-891a-c4b0420dbd70,1691657503.859957
B21,B28,13.0,195.0,15.0,d1ee064a-4eeb-41a3-9538-78f3e9d42d60,1691657507.4660153
B06,B09,6.0,90.0,15.0,3d82886a-8e70-4eb5-b0e0-e0660e0cd8f5,1691657511.084021
B06,B22,47.0,705.0,15.0,58397b66-b64d-48bb-9b4b-1aa247ff91c5,1691657516.1095722
B06,B08,15.0,225.0,15.0,eac21a6c-6001-4a12-85dd-5d1c8073076c,1691657521.904895
B06,B36,22.0,330.0,15.0,dbf6b172-20a9-48ab-98cb-6935c1a2ee57,1691657527.724431
Liege,B11,3.0,90.0,30.0,94b47062-7f66-424c-9e14-2198a1d58cc2,1691657535.231361
Market Maker,Liege,3.0,90.0,30.0,c7a8b1ba-6be7-4546-b608-47ddaf11f9f8,1691657541.7852457
Liege,B13,10.0,300.0,30.0,0f29526c-c1e8-4f86-946b-b46113779542,1691657548.2918732
Market Maker,Liege,10.0,300.0,30.0,20e2f68c-1fde-41bf-818d-4751e807d9ba,1691657554.514337
Liege,B23,86.0,2580.0,30.0,69319c9b-2258-4d52-b206-9bfc132d4cb8,1691657561.7068093
Market Maker,Liege,86.0,2580.0,30.0,3961f412-8305-4556-8119-a657a765e743,1691657568.7255168
Liege,B04,3.0,90.0,30.0,e033f53a-30b7-4c44-ac8f-926f328b51c4,1691657576.3894393
Market Maker,Liege,3.0,90.0,30.0,d1817021-8a76-4ea5-98b6-7bd2eb3d853e,1691657583.8313684
Liege,B34,18.0,540.0,30.0,2c743296-1e19-4a7b-bd52-17b9f2232d6d,1691657592.178622
Market Maker,Liege,18.0,540.0,30.0,a71018f1-fd4d-47a5-b1c6-857bd9249937,1691657600.377871
Liege,B31,11.0,330.0,30.0,de7d6b3d-615a-4f9a-b60f-a33031e471df,1691657611.8558755
Market Maker,Liege,11.0,330.0,30.0,220abdf7-0ba8-4b7f-b0f1-ad894d07c7fd,1691657629.3042555
Liege,B42,44.0,1320.0,30.0,2c1be2ab-e6ac-4704-9d7b-476511c1c296,1691657647.7615192
Market Maker,Liege,44.0,1320.0,30.0,bdaaf679-e304-47f8-b632-fe6c75600fb5,1691657667.1586666
